        null                     | 'email'                  | 'abigail@example.com'
        null                     | 'email'                  | 'abigail@example.com '
        null                     | 'email'                  | ' abigail@example.com'
        null                     | 'email'                  | 'abigail @example.com '
        null                     | 'email'                  | '*@example.net'
        null                     | 'email'                  | '\"\\\"\"@foo.bar'
        null                     | 'email'                  | 'fred&barny@example.com'
        null                     | 'email'                  | '---@example.com'
        null                     | 'email'                  | 'foo-bar@example.net'
        null                     | 'email'                  | '\"127.0.0.1\"@[127.0.0.1]'
        null                     | 'email'                  | 'Abigail <abigail@example.com>'
        null                     | 'email'                  | 'Abigail<abigail@example.com>'
        null                     | 'email'                  | 'Abigail<@a,@b,@c:abigail@example.com>'
        null                     | 'email'                  | '\"This is a phrase\"<abigail@example.com>'
        null                     | 'email'                  | '\"Abigail \"<abigail@example.com>'
        null                     | 'email'                  | '\"Joe & J. Harvey\" <example @Org>'
        null                     | 'email'                  | 'Abigail <abigail @ example.com>'
        null                     | 'email'                  | 'Abigail made this <  abigail   @   example  .    com    >'
        null                     | 'email'                  | 'Abigail(the bitch)@example.com'
        null                     | 'email'                  | 'Abigail <abigail @ example . (bar) com >'
        null                     | 'email'                  | 'Abigail < (one)  abigail (two) @(three)example . (bar) com (quz) >'
        null                     | 'email'                  | 'Abigail (foo) (((baz)(nested) (comment)) ! ) < (one)  abigail (two) @(three)example . (bar) com (quz) >'
        null                     | 'email'                  | 'Abigail <abigail(fo\\(o)@example.com>'
        null                     | 'email'                  | 'Abigail <abigail(fo\\)o)@example.com> '
        null                     | 'email'                  | '(foo) abigail@example.com'
        null                     | 'email'                  | 'abigail@example.com (foo)'
        null                     | 'email'                  | '\"Abi\\\"gail\" <abigail@example.com>'
        null                     | 'email'                  | 'abigail@[example.com]'
        null                     | 'email'                  | 'abigail@[exa\\[ple.com]'
        null                     | 'email'                  | 'abigail@[exa\\]ple.com]'
        null                     | 'email'                  | '\":sysmail\"@  Some-Group. Some-Org'
        null                     | 'email'                  | 'Muhammed.(I am  the greatest) Ali @(the)Vegas.WBA'
        null                     | 'email'                  | 'mailbox.sub1.sub2@this-domain'
        null                     | 'email'                  | 'sub-net.mailbox@sub-domain.domain'
        null                     | 'email'                  | 'name:;'
        null                     | 'email'                  | '':;'
        null                     | 'email'                  | 'name:   ;'
        null                     | 'email'                  | 'Alfred Neuman <Neuman@BBN-TENEXA>'
        null                     | 'email'                  | 'Neuman@BBN-TENEXA'
        null                     | 'email'                  | '\"George, Ted\" <Shared@Group.Arpanet>'
        null                     | 'email'                  | 'Wilt . (the  Stilt) Chamberlain@NBA.US'
        null                     | 'email'                  | 'Cruisers:  Port@Portugal, Jones@SEA;'
        null                     | 'email'                  | '$@[]'
        null                     | 'email'                  | '*()@[]'
        null                     | 'email'                  | '\"quoted ( brackets\" ( a comment )@example.com'
        null                     | 'email'                  | '\"Joe & J. Harvey\"\\x0D\\x0A     <ddd\\@ Org>'
        null                     | 'email'                  | '\"Joe &\\x0D\\x0A J. Harvey\" <ddd \\@ Org>'
        'matches'              | 'email'                  | '   Just a string'
        'matches'              | 'email'                  | 'string'
        'matches'              | 'email'                  | '(comment)'
        'matches'              | 'email'                  | '()@example.com'
        'matches'              | 'email'                  | 'fred(&)barny@example.com'
        'matches'              | 'email'                  | 'fred\\ barny@example.com'
        'matches'              | 'email'                  | 'Abigail <abi gail @ example.com>'
        'matches'              | 'email'                  | 'Abigail <abigail(fo(o)@example.com>'
        'matches'              | 'email'                  | 'Abigail <abigail(fo)o)@example.com>'
        'matches'              | 'email'                  | '\"Abi\"gail\" <abigail@example.com>'
        'matches'              | 'email'                  | 'abigail@[exa]ple.com]'
        'matches'              | 'email'                  | 'abigail@[exa[ple.com]'
        'matches'              | 'email'                  | 'abigail@[exaple].com]'
        'matches'              | 'email'                  | 'abigail@'
        'matches'              | 'email'                  | '@example.com'
        'matches'              | 'email'                  | 'phrase: abigail@example.com abigail@example.com ;'
        'matches'              | 'email'                  | 'invalid�char@example.com'
